2024-07-14 22:33:54,187 INFO    StreamThr :632544 [internal.py:wandb_internal():86] W&B internal server running at pid: 632544, started at: 2024-07-14 22:33:54.187295
2024-07-14 22:33:54,188 DEBUG   HandlerThread:632544 [handler.py:handle_request():146] handle_request: status
2024-07-14 22:33:54,192 INFO    WriterThread:632544 [datastore.py:open_for_write():87] open: /home/uosai/Desktop/marl/results/Football/11_vs_11_curriculum_learning/tizero/base_TiZero/wandb/run-20240714_223354-qstz7mcg/run-qstz7mcg.wandb
2024-07-14 22:33:54,192 DEBUG   SenderThread:632544 [sender.py:send():382] send: header
2024-07-14 22:33:54,213 DEBUG   SenderThread:632544 [sender.py:send():382] send: run
2024-07-14 22:33:54,684 ERROR   SenderThread:632544 [internal_api.py:execute():373] 500 response executing GraphQL.
2024-07-14 22:33:54,684 ERROR   SenderThread:632544 [internal_api.py:execute():374] {"errors":[{"message":"An internal error occurred. Please contact support.","path":["upsertBucket"]}],"data":{"upsertBucket":null}}
2024-07-14 22:33:56,083 INFO    SenderThread:632544 [dir_watcher.py:__init__():211] watching files in: /home/uosai/Desktop/marl/results/Football/11_vs_11_curriculum_learning/tizero/base_TiZero/wandb/run-20240714_223354-qstz7mcg/files
2024-07-14 22:33:56,083 INFO    SenderThread:632544 [sender.py:_start_run_threads():1136] run started: qstz7mcg with start time 1720964034.187149
2024-07-14 22:33:56,086 DEBUG   HandlerThread:632544 [handler.py:handle_request():146] handle_request: check_version
2024-07-14 22:33:56,086 DEBUG   SenderThread:632544 [sender.py:send_request():409] send_request: check_version
2024-07-14 22:33:56,134 DEBUG   HandlerThread:632544 [handler.py:handle_request():146] handle_request: run_start
2024-07-14 22:33:56,143 DEBUG   HandlerThread:632544 [system_info.py:__init__():27] System info init
2024-07-14 22:33:56,143 DEBUG   HandlerThread:632544 [system_info.py:__init__():42] System info init done
2024-07-14 22:33:56,143 INFO    HandlerThread:632544 [system_monitor.py:start():194] Starting system monitor
2024-07-14 22:33:56,143 INFO    SystemMonitor:632544 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-07-14 22:33:56,143 INFO    HandlerThread:632544 [system_monitor.py:probe():214] Collecting system info
2024-07-14 22:33:56,144 INFO    SystemMonitor:632544 [interfaces.py:start():190] Started cpu monitoring
2024-07-14 22:33:56,144 INFO    SystemMonitor:632544 [interfaces.py:start():190] Started disk monitoring
2024-07-14 22:33:56,144 INFO    SystemMonitor:632544 [interfaces.py:start():190] Started gpu monitoring
2024-07-14 22:33:56,145 INFO    SystemMonitor:632544 [interfaces.py:start():190] Started memory monitoring
2024-07-14 22:33:56,145 INFO    SystemMonitor:632544 [interfaces.py:start():190] Started network monitoring
2024-07-14 22:33:56,158 DEBUG   HandlerThread:632544 [system_info.py:probe():151] Probing system
2024-07-14 22:33:56,163 DEBUG   HandlerThread:632544 [system_info.py:_probe_git():136] Probing git
2024-07-14 22:33:56,174 DEBUG   HandlerThread:632544 [system_info.py:_probe_git():144] Probing git done
2024-07-14 22:33:56,174 DEBUG   HandlerThread:632544 [system_info.py:probe():199] Probing system done
